date,bot,symbol,signal_type,price,volume,P,V,G,regime,would_fire,filter_reason,conviction_mult,next_day_return
2025-11-21,Bullseye Bot,IWM,CALL,235.6,99447207,-0.1998897160846982,-0.000674607545348354,0.75,NEUTRAL,True,PASSED,1.0,1.8251273344652
2025-12-02,Bullseye Bot,INTC,CALL,43.47,167071488,0.1551167533494559,0.010196613963285361,0.75,NEUTRAL,True,PASSED,1.0465350260048367,
2025-11-20,Sweeps Bot,NVDA,PUT,180.64,343500467,0.020337705016250547,0.0,0.35,NEUTRAL,True,PASSED,1.0,-0.9743135518157612
2025-11-19,Sweeps Bot,GOOGL,CALL,292.81,68198844,0.43439868846362223,0.0,0.7000000000000001,BULLISH_CALL_DRIVEN,True,PASSED,1.12,-1.1475017929715563
2025-11-20,Sweeps Bot,GOOGL,PUT,289.45,62024856,0.38339965270521376,0.0,0.39999999999999997,BULLISH_PUT_HEDGED,True,PASSED,0.7,3.527379512869248
2025-11-21,Sweeps Bot,GOOGL,CALL,299.66,74137472,0.4284764643769645,0.008530970230820929,0.7000000000000001,BULLISH_CALL_DRIVEN,True,PASSED,1.12,6.313822331976225
2025-11-24,Sweeps Bot,GOOGL,CALL,318.58,85164423,0.4750565596900277,0.0092236683337522,0.7000000000000001,BULLISH_CALL_DRIVEN,True,PASSED,1.12,1.5255194927490783
2025-11-25,Sweeps Bot,GOOGL,CALL,323.44,88631553,0.4493070230345397,0.00666944768348827,0.7000000000000001,BULLISH_CALL_DRIVEN,True,PASSED,1.12,-1.0790254761315883
2025-11-20,Sweeps Bot,SPY,PUT,652.53,165142677,-0.15485764345872538,0.0,0.35,NEUTRAL,True,PASSED,1.0464572930376177,0.9961227836268065
2025-11-20,Sweeps Bot,QQQ,PUT,585.67,117742495,-0.14371624506288153,0.0,0.35,NEUTRAL,True,PASSED,1.0431148735188644,0.7512763160141532
2025-11-20,Sweeps Bot,IWM,PUT,229.11,95441384,-0.2940206920630677,0.0,0.24999999999999997,NEUTRAL,True,PASSED,1.0882062076189203,2.832700449565702
2025-11-21,Sweeps Bot,IWM,CALL,235.6,99447207,-0.1998897160846982,-0.000674607545348354,0.75,NEUTRAL,True,PASSED,1.0,1.8251273344652
2025-11-24,Sweeps Bot,NFLX,CALL,106.97,62918202,-0.05792512882844002,0.0001399624428928114,0.65,NEUTRAL,True,PASSED,1.0,-2.402542769000648
2025-11-25,Sweeps Bot,NIO,PUT,5.5,88392000,-0.4359606435684432,-0.0035653878481388263,0.3,BEARISH_PUT_DRIVEN,True,PASSED,1.12,-0.7272727272727278
2025-11-24,Sweeps Bot,BABA,CALL,160.73,21796482,-0.18854577024174862,-0.006329073433800351,0.65,NEUTRAL,True,PASSED,1.0,-2.314440365830896
2025-11-25,Sweeps Bot,BABA,PUT,157.01,27097482,-0.3138670512104401,-0.006850319304148873,0.3,BEARISH_PUT_DRIVEN,True,PASSED,1.094160115363132,0.37577224380612917
2025-11-20,Sweeps Bot,MU,PUT,201.37,47420628,0.0498472375973173,0.0,0.35,NEUTRAL,True,PASSED,1.0,2.9795898098028504
2025-12-02,Sweeps Bot,INTC,CALL,43.47,167071488,0.1551167533494559,0.010196613963285361,0.75,NEUTRAL,True,PASSED,1.0465350260048367,
2025-11-24,99 Cent Store,AAPL,CALL,275.92,65497571,0.323353555772507,-0.00239716414153232,0.7000000000000001,BULLISH_CALL_DRIVEN,True,PASSED,1.097006066731752,0.38054508553204236
2025-11-18,99 Cent Store,MSFT,PUT,493.79,33814974,-0.19405116792704544,0.0,0.35,NEUTRAL,True,PASSED,1.0582153503781135,-1.3507766459426105
2025-11-19,99 Cent Store,NVDA,CALL,186.52,247238094,0.07443754410901476,0.0,0.65,NEUTRAL,True,PASSED,1.0223312632327044,-3.1524769461720052
2025-11-21,99 Cent Store,NVDA,PUT,178.88,346920745,-0.017771933219652775,0.01118402193221148,0.4,NEUTRAL,True,PASSED,1.0053315799658957,2.051654740608238
2025-11-25,99 Cent Store,NVDA,PUT,177.82,320586750,-0.12458916069966325,0.00890479348519652,0.35,NEUTRAL,True,PASSED,1.037376748209899,1.3721741086491945
2025-11-20,99 Cent Store,TSLA,PUT,395.23,113497855,-0.1578418351989566,0.0,0.35,NEUTRAL,True,PASSED,1.047352550559687,-1.0474913341598673
