symbol,date,signal_type,P,V,G,regime,aligned,conviction_mult,entry_price,next_day_return,profitable
AAPL,2025-12-01 05:00:00,CALL,0.29313102974160826,-0.003609313967422015,0.8326,NEUTRAL,True,1.0879393089224825,283.1,1.0914871070293093,True
AAPL,2025-11-28 05:00:00,CALL,0.2474680955338727,-0.003888120068073665,0.8326,NEUTRAL,True,1.074240428660162,278.85,1.5241169087322932,True
AAPL,2025-11-26 05:00:00,CALL,0.23597336415417675,-0.003900760573209529,0.8326,NEUTRAL,True,1.070792009246253,277.55,0.46838407494145606,True
MSFT,2025-12-01 05:00:00,CALL,-0.309682953189223,0.0035441795543439906,0.6088,BEARISH_CALL_HEDGED,False,0.7,486.74,0.6697620906438737,True
MSFT,2025-11-28 05:00:00,CALL,-0.35840529980317754,0.005649175869720653,0.6088,BEARISH_CALL_HEDGED,False,0.7,492.01,-1.0711164407227458,False
MSFT,2025-11-26 05:00:00,CALL,-0.4340590614358008,0.004792023676550434,0.6088,BEARISH_CALL_HEDGED,False,0.7,485.5,1.3408856848609663,True
NVDA,2025-12-01 05:00:00,CALL,-0.23856871223735027,0.0040891254913791725,0.6444,NEUTRAL,False,0.7,179.92,0.8559359715429194,True
NVDA,2025-11-28 05:00:00,CALL,-0.31342308364350396,0.00504409406016507,0.6444,BEARISH_CALL_HEDGED,False,0.7,177.0,1.6497175141242868,True
NVDA,2025-11-26 05:00:00,CALL,-0.20766181726513844,0.0057915528369968695,0.6444,NEUTRAL,False,0.7,180.26,-1.808498835016083,False
TSLA,2025-12-01 05:00:00,CALL,-0.02271130185212691,-0.0012373904817012601,0.631,NEUTRAL,False,1.0,430.14,-0.20923420281768199,False
TSLA,2025-11-28 05:00:00,CALL,-0.10053862954040815,0.0015991903724065781,0.631,NEUTRAL,False,1.0,430.17,-0.006973987028390998,False
TSLA,2025-11-26 05:00:00,CALL,-0.11264959860163247,0.001234723403937217,0.631,NEUTRAL,False,1.0,426.58,0.8415771953678166,True
META,2025-12-01 05:00:00,CALL,-0.11573559741857378,-0.0008456319414660851,0.635,NEUTRAL,False,1.0,640.87,0.9721160297720315,True
META,2025-11-28 05:00:00,CALL,-0.33593657584724756,0.00832413996242651,0.635,BEARISH_CALL_HEDGED,False,0.7,647.95,-1.0926769040821114,False
META,2025-11-26 05:00:00,CALL,-0.4126174313989113,0.006697782747466286,0.635,BEARISH_CALL_HEDGED,False,0.7,633.61,2.263221855715666,True
GOOGL,2025-12-01 05:00:00,CALL,0.3014031921489281,0.0034615936250253186,0.659,BULLISH_CALL_DRIVEN,True,1.0904209576446784,314.89,0.2921655181174429,True
GOOGL,2025-11-28 05:00:00,CALL,0.3989558853513093,0.004719066558687533,0.659,BULLISH_CALL_DRIVEN,True,1.0954,320.18,-1.652195639952533,False
GOOGL,2025-11-26 05:00:00,CALL,0.43535464561461973,0.007027569363620978,0.659,BULLISH_CALL_DRIVEN,True,1.0954,319.95,0.07188623222379065,True
AMZN,2025-12-01 05:00:00,CALL,0.13302983421083303,0.005804120355802833,0.72,NEUTRAL,True,1.03990895026325,233.88,0.23088763468445014,True
AMZN,2025-11-28 05:00:00,CALL,0.04751269409514405,0.008516206683206224,0.72,NEUTRAL,True,1.0142538082285433,233.22,0.28299459737586685,True
AMZN,2025-11-26 05:00:00,CALL,0.019304319106851014,0.007551476976575084,0.72,NEUTRAL,True,1.0057912957320554,229.16,1.7716879036481072,True
PLTR,2025-12-01 05:00:00,CALL,-0.19996238595190824,0.010341402672381858,0.6624,NEUTRAL,False,1.0,167.49,1.9105618245865357,True
PLTR,2025-11-28 05:00:00,CALL,-0.21852459631197918,0.011450301405317841,0.6624,NEUTRAL,False,0.7,168.45,-0.5699020480854732,False
PLTR,2025-11-26 05:00:00,CALL,-0.16292768412979397,0.014358924500017807,0.6624,NEUTRAL,False,1.0,165.77,1.6166978343487834,True
SOFI,2025-12-01 05:00:00,CALL,0.0324161709984979,0.006297708695311939,0.7772,NEUTRAL,True,1.0097248512995494,29.03,1.6534619359283513,True
SOFI,2025-11-28 05:00:00,CALL,-0.009620247482200963,0.009766177012646544,0.7772,NEUTRAL,False,1.0,29.72,-2.3216689098250263,False
