symbol,date,P,V,G,close,next_day_return,regime
AAPL,2025-12-02 05:00:00,0.37487708666504993,-0.0031378269251645784,0.8326,286.19,,BULLISH_CALL_DRIVEN
AAPL,2025-12-01 05:00:00,0.29313102974160826,-0.003609313967422015,0.8326,283.1,1.0914871070293093,NEUTRAL
AAPL,2025-11-28 05:00:00,0.2474680955338727,-0.003888120068073665,0.8326,278.85,1.5241169087322932,NEUTRAL
AAPL,2025-11-26 05:00:00,0.23597336415417675,-0.003900760573209529,0.8326,277.55,0.46838407494145606,NEUTRAL
MSFT,2025-12-02 05:00:00,-0.2277566161114623,0.002786777694787022,0.6088,490.0,,NEUTRAL
MSFT,2025-12-01 05:00:00,-0.309682953189223,0.0035441795543439906,0.6088,486.74,0.6697620906438737,BEARISH_CALL_HEDGED
MSFT,2025-11-28 05:00:00,-0.35840529980317754,0.005649175869720653,0.6088,492.01,-1.0711164407227458,BEARISH_CALL_HEDGED
MSFT,2025-11-26 05:00:00,-0.4340590614358008,0.004792023676550434,0.6088,485.5,1.3408856848609663,BEARISH_CALL_HEDGED
NVDA,2025-12-02 05:00:00,-0.21335009736689534,0.004728580539640991,0.6444,181.46,,NEUTRAL
NVDA,2025-12-01 05:00:00,-0.23856871223735027,0.0040891254913791725,0.6444,179.92,0.8559359715429194,NEUTRAL
NVDA,2025-11-28 05:00:00,-0.31342308364350396,0.00504409406016507,0.6444,177.0,1.6497175141242868,BEARISH_CALL_HEDGED
NVDA,2025-11-26 05:00:00,-0.20766181726513844,0.0057915528369968695,0.6444,180.26,-1.808498835016083,NEUTRAL
TSLA,2025-12-02 05:00:00,-0.10329526889388342,-0.0022682904622721434,0.631,429.24,,NEUTRAL
TSLA,2025-12-01 05:00:00,-0.02271130185212691,-0.0012373904817012601,0.631,430.14,-0.20923420281768199,NEUTRAL
TSLA,2025-11-28 05:00:00,-0.10053862954040815,0.0015991903724065781,0.631,430.17,-0.006973987028390998,NEUTRAL
TSLA,2025-11-26 05:00:00,-0.11264959860163247,0.001234723403937217,0.631,426.58,0.8415771953678166,NEUTRAL
AMD,2025-12-02 05:00:00,-0.2090078891911273,-0.00797436985422667,0.5524,215.24,,NEUTRAL
AMD,2025-12-01 05:00:00,-0.17829327640952536,-0.01013619345846882,0.5524,219.76,-2.056789224608656,NEUTRAL
AMD,2025-11-28 05:00:00,-0.23350948322687337,-0.007858515659730517,0.5524,217.53,1.0251459568795063,NEUTRAL
AMD,2025-11-26 05:00:00,-0.21871970466769808,-0.006383806563733434,0.5524,214.24,1.5356609410007431,NEUTRAL
META,2025-12-02 05:00:00,0.003986493565120247,-0.0023274777072547735,0.635,647.1,,NEUTRAL
META,2025-12-01 05:00:00,-0.11573559741857378,-0.0008456319414660851,0.635,640.87,0.9721160297720315,NEUTRAL
META,2025-11-28 05:00:00,-0.33593657584724756,0.00832413996242651,0.635,647.95,-1.0926769040821114,BEARISH_CALL_HEDGED
META,2025-11-26 05:00:00,-0.4126174313989113,0.006697782747466286,0.635,633.61,2.263221855715666,BEARISH_CALL_HEDGED
GOOGL,2025-12-02 05:00:00,0.3099891489877036,0.003656209076076047,0.659,315.81,,BULLISH_CALL_DRIVEN
GOOGL,2025-12-01 05:00:00,0.3014031921489281,0.0034615936250253186,0.659,314.89,0.2921655181174429,BULLISH_CALL_DRIVEN
